Parcel ID,Location,Built,TotalValue,SalePrice,Beds,LotSize,LUC,NHood,SaleDate,BookPage,type,Baths,FinishedSize,description,SaleYear,Zipcode,latitude,longitude,zestimate
17-038-00-0,63 Sycamore St,1930,296700,1,3,8917,101,240,6/14/2016,193400-,Old Style  ,1,1168,ONE FAM,2016,2343,42.156283,-70.991176,334274
17-061-00-0,66 Sycamore St,1880,482600,34000,5,46039,101,240,7/1/1980,5749-563,Old Style  ,3,2763,ONE FAM,1980,2343,42.155821,-70.990096,558529
17-039-00-0,67 Sycamore St,1975,334400,33500,3,12907,101,240,1/14/1975,496-185,Raised Ranch  ,1,1838,ONE FAM,1975,2343,42.15599,-70.991071,391266
17-041-00-0,71 Sycamore St,1966,371200,232500,3,19837,101,240,3/21/2014,188382-,Raised Ranch  ,1,1584,ONE FAM,2014,2343,42.155584,-70.990936,426062
26-160-00-0,33 Edgewood Rd,1960,310300,319000,3,10001,101,180,2/18/2015,32905-48,Split Level  ,2,1507,ONE FAM,2015,2343,42.147032,-71.015127,387319
17-059-00-0,86 Sycamore St,1959,306500,289000,3,9300,101,240,1/31/2017,34885-575,Ranch  ,1,1120,ONE FAM,2017,2343,42.155099,-70.990106,324641
17-043-00-0,89 Sycamore St,1952,324500,10,2,6948,101,240,8/12/2016,193879-,Cape  ,1,1428,ONE FAM,2016,2343,42.155081,-70.990668,362714
17-044-00-0,98 Sycamore St,1959,277100,1,3,11700,101,240,6/30/2017,35242-186,Ranch  ,1,1148,ONE FAM,2017,2343,42.154674,-70.989956,333259
33-186-00-0,2 Holly Rd,2017,346400,355000,2,5301,101,180,7/27/2017,35311-408,Ranch  ,2,1800,ONE FAM,2017,2343,42.140522,-71.014863,427517
40-021-98-0,14 Sylvan Rd,1970,318100,1,6,10001,101,180,8/9/2010,27901-202,Split Level  ,2,2256,ONE FAM,2010,2343,42.140298,-71.020309,394487
40-020-00-0,15 Sylvan Rd,1964,262100,14500,2,5001,101,180,9/28/1964,4199-343,Ranch  ,1,975,ONE FAM,1964,2343,42.140313,-71.020896,309441
40-023-00-0,18 Sylvan Rd,1976,201500,120000,2,5001,101,180,10/7/1987,7761-372,Raised Ranch  ,2,1073,ONE FAM,1987,2343,42.14,-71.020547,279087
40-018-00-0,19 Sylvan Rd,1975,312600,40000,3,10001,101,180,6/22/1977,5346-134,Raised Ranch  ,1,1866,ONE FAM,1977,2343,42.140081,-71.021084,385807
40-017-00-0,21 Sylvan Rd,1968,288200,1,4,10001,101,180,11/7/1980,5804-546,Split Level  ,1,1578,ONE FAM,1980,2343,42.139901,-71.021226,342991
40-026-00-0,24 Sylvan Rd,1958,192200,100,3,5001,101,180,1/13/1999,13149-447,Ranch  ,1,1092,ONE FAM,1999,2343,42.139642,-71.020832,266034
40-015-00-0,25 Sylvan Rd,1966,213200,1,3,5001,101,180,1/10/2012,29539-263,Cape  ,1,1456,ONE FAM,2012,2343,42.139721,-71.021371,328246
40-027-28-0,26 Sylvan Rd,1960,317100,1,3,10001,101,180,6/25/2002,813-096,Split Level  ,1,1699,ONE FAM,2002,2343,42.139466,-71.020973,376163
33-094-00-0,4 Sylvan Rd,1955,247700,235000,3,5001,101,180,6/28/2012,30132-62,Cape  ,1,1260,ONE FAM,2012,2343,42.140918,-71.019817,341657
33-084-00-0,5 Sylvan Rd,1955,180200,1,3,5001,101,180,8/25/1995,11013-569,Split Level  ,1,1114,ONE FAM,1995,2343,42.141001,-71.020354,255835
21-052-00-0,33 Snell St,1920,466400,475000,4,11678,101,220,11/20/2017,35611-306,Old Style  ,3,2960,ONE FAM,2017,2343,42.153941,-71.01008,504091
26-068-00-0,11 Bagley Rd,1950,291500,3.00E+05,2,8799,101,180,8/3/2018,36196-444,Ranch  ,2,1257,ONE FAM,2018,2343,42.145761,-71.018079,309056
39-011-00-0,10 Teed Rd,1965,258500,32000,3,7200,101,180,10/4/1976,5270-16,Ranch  ,1,960,ONE FAM,1976,2343,42.137478,-71.02274,312583
39-064-00-0,11 Teed Rd,1952,231000,1,4,5001,101,180,2/4/2002,16187-216,Ranch  ,1,1136,ONE FAM,2002,2343,42.137898,-71.022801,304365
39-013-00-0,18 Teed Rd,1955,318600,302000,3,14401,101,180,1/22/2015,32854-372,Ranch  ,1,1485,ONE FAM,2015,2343,42.137493,-71.023181,390537
39-062-00-0,19 Teed Rd,1966,258100,1,3,5001,101,180,7/3/2000,14259-570,Cape  ,1,1260,ONE FAM,2000,2343,42.137913,-71.023175,327313
39-061-00-0,23 Teed Rd,1972,248100,129900,4,5001,101,180,12/20/1993,10290-46,Raised Ranch  ,1,1836,ONE FAM,1993,2343,42.137921,-71.023361,365790
39-033-00-0,26 Teed Rd,1953,213600,127500,2,5001,101,180,6/15/2011,28871-348,Ranch  ,1,998,ONE FAM,2011,2343,42.137535,-71.023529,268751
39-075-00-0,483 South St,1938,211500,220000,2,5802,101,270,9/14/2015,33478-34,Ranch  ,1,878,ONE FAM,2015,2343,42.139718,-71.023118,268861
52-039-00-0,899 S Franklin St,1900,251600,260000,3,8581,101,230,3/21/2018,35864-504,Old Style  ,1,1200,ONE FAM,2018,2343,42.126164,-71.011018,269997
39-035-00-0,34 Teed Rd,1999,284900,241500,3,5001,101,180,5/30/2014,32282-498,Colonial  ,2,1560,ONE FAM,2014,2343,42.137552,-71.023901,352232
39-058-00-0,35 Teed Rd,1954,262800,55000,3,10001,101,180,9/2/1983,6242-661,Ranch  ,1,1812,ONE FAM,1983,2343,42.137943,-71.023908,340700
39-036-00-0,38 Teed Rd,1951,265900,21900,3,5001,101,180,8/4/1971,4758-473,Split Level  ,1,1200,ONE FAM,1971,2343,42.137561,-71.024087,318094
